country,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022
Afghanistan,64385715,148430,46242,10741,78,135,200,159,170,112,201,84,48,61,94,30,1,2,0,0,0,19,15,33,23,5
Akrotiri and Dhekelia,23448,336,238,42,1,1,0,2,0,2,3,1,3,0,1,2,1,1,5,9,1,1,1,0,1,0
Albania,2873537,534848,428833,16472,3402,837,533,2994,631,901,4892,5034,1253,606,1034,4823,2223,941,254,758,1372,1798,947,940,1371,1778
Algeria,230804377,895576,472785,89152,2427,2305,3019,3311,3401,4199,4160,6392,8507,2135,7192,8961,5045,6993,4267,6004,37696,4295,4620,9831,15636,10492
Andorra,45196,16889,16179,120,2,1,0,20,2,7,2,5,3,1,1,8,3,1,2,0,3,14,7,26,2,14
Angola,124742298,31917530,29980806,1224126,76820,43061,35582,43422,53063,48241,88808,56013,92730,111802,100568,113042,99292,135584,102506,137072,159388,146256,101978,133793,190583,158427
Anguilla,8332,1372,686,70,2,0,0,5,2,0,5,7,1,0,1,1,1,0,0,0,1,0,0,0,1,0
Antigua and Barbuda,43576,17271,16351,362,23,17,16,25,59,58,36,43,59,18,25,32,20,23,9,14,69,157,23,15,35,35
Argentina,278010122,23116356,23907653,1107735,102144,73470,132020,248387,228611,210531,247500,396089,206806,297486,355899,347089,253702,155456,119321,143415,159830,112695,98278,133587,136385,163232
Armenia,2969009,294622,177146,12256,122,164,387,73,98,121,48,103,188,150,167,184,35,35,2,29,23,5,1,18,4,8
Aruba,18198,16,8,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,768791340,25719710,24451140,1600600,67023,84679,151950,94286,96246,114450,181580,127334,168109,87901,86676,88031,181744,192619,149473,305288,175039,155010,1227182,1951339,197488,80012
Austria,8385802,4114725,4008210,36317,6828,10753,14270,14412,21411,12468,31317,26662,15748,16521,17949,11034,7470,9654,7841,16985,18141,25993,33173,25633,16435,19541
Azerbaijan,8623533,1113390,873912,30270,488,1065,983,491,206,466,455,435,322,468,126,526,131,299,26,24,79,75,10,21,69,143
Bahamas,1338763,256960,264112,6316,411,667,257,542,1395,847,545,1881,741,381,603,342,1464,698,957,2909,3054,805,1315,2328,1340,487
Bahrain,71518,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,13938437,1522871,1504904,317862,4507,3866,2087,4077,3197,6557,3762,4242,5355,4420,3976,5102,5482,11039,11338,19238,25939,17501,20410,19775,16073,12572
Barbados,43466,4619,4960,377,8,9,2,7,7,2,27,11,11,15,17,112,5,2,2,14,15,22,52,20,15,5
Belarus,20706912,8384058,8482951,963616,17702,24310,31052,37532,35389,41383,32007,35319,34896,35298,44825,39066,27279,32760,32732,85982,75113,82879,72072,66645,61782,63187
Belgium,3070744,778290,778429,41687,927,2310,1843,4678,2938,6802,5885,7093,5082,10743,4958,5583,3261,4160,3344,4359,3971,4446,5348,5224,8917,4652
Belize,2198946,1710654,1663792,18602,8120,13246,6766,4251,8028,4222,12142,8160,10206,9722,26288,11478,16287,16306,12158,20366,16036,10996,17956,26381,9159,8048
Benin,11542318,9000,14047,181408,1882,924,805,115,249,318,844,81,803,99,95,522,29,23,8,59,37,18,6,16,15,15
Bermuda,6808,437,592,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Bhutan,3876296,2366473,2116634,28221,276,206,472,921,706,563,468,717,1098,3857,958,691,406,1093,631,1689,1691,1028,697,1098,1049,1073
Bolivia,108339285,57489600,56624124,617222,133411,170042,158708,190346,238167,206660,184564,348141,212937,436578,316823,260861,164472,240758,152102,439062,433995,279213,793740,408102,524932,561236
"Bonaire, Sint Eustatius and Saba",32366,1759,2052,270,3,2,16,0,1,7,1,1,1,2,9,3,3,1,0,0,0,0,2,10,0,0
Bosnia and Herzegovina,5106883,2477204,2353158,53276,1418,622,281,3875,549,502,2293,1406,1221,873,915,2178,2397,1729,552,2213,1206,2504,1180,1735,942,1879
Botswana,57788401,1278,228,13303,29,1,1,2,1,3,4,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0
Brazil,850035650,475688332,453286661,8062336,2511772,3259112,2971953,3554955,3271827,2644935,2370608,2211986,1608447,2411940,1720221,2579923,1712477,2368690,1955191,4980661,4188994,2688477,2466243,3026629,2713081,2997702
British Virgin Islands,16932,6856,6447,24,4,3,2,3,4,2,6,7,5,4,15,1,2,0,0,3,228,6,1,0,4,2
Brunei,577779,523736,522184,7532,1229,1080,791,1189,1270,1003,1546,1291,2160,961,2609,1823,875,2166,1688,2475,919,783,1120,1121,936,901
Bulgaria,11158731,3858690,3539261,106351,7848,4458,5068,7980,6462,5037,9307,6264,6006,3528,3259,9769,3566,6487,7064,7102,7210,9342,3950,4549,6436,3850
Burkina Faso,27341711,6,70,142766,1,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Burundi,2693531,140709,142433,16374,886,493,825,303,478,167,964,943,415,1164,561,381,375,805,501,553,568,806,749,556,770,514
Cambodia,18135961,7482328,6470494,147334,25720,46903,51061,73502,60782,76410,72927,80252,114045,223667,184178,181193,173384,140656,115930,161038,100471,92130,118657,120786,121980,86567
Cameroon,46604006,25260678,24763265,351063,34078,24965,22752,19882,22356,30864,38306,28689,32964,51758,24547,45406,74194,161615,71595,106407,166374,107421,107327,186638,153452,131397
Canada,983422994,324180961,312998470,16965179,1190287,2025868,1409331,2311650,2513877,2021291,1794700,1572220,1289935,1636328,1709384,2060338,2099934,1688961,2175584,1783740,1848975,1850379,1946116,1089479,2080579,1813746
Cape Verde,409098,3744,4765,0,7,22,8,1,5,5,0,0,7,1,15,7,7,3,0,0,0,8,0,2,0,0
Caspian Sea,37158134,92180,87864,300,8,20,5,10,4,7,6,12,5,8,33,20,52,2,0,0,5,0,0,0,0,1
Cayman Islands,28040,12395,12646,497,17,5,5,44,8,14,15,27,23,34,34,8,17,6,0,64,62,40,10,6,9,24
Central African Republic,62019959,30767843,30744241,482449,27144,28554,12309,12968,24406,39351,30492,22509,42231,42414,41872,47159,28556,39744,17526,44214,49107,27505,34702,43068,55473,37630
Chad,126995175,7270,33770,256622,85,189,34,20,50,214,49,154,52,15,75,129,13,19,26,17,77,55,34,32,39,38
Chile,75735292,17815815,18908635,731819,72363,77536,82102,84959,105565,91058,120431,121975,87809,90648,97345,171430,96126,110299,97719,103249,188435,67679,68244,61613,60903,58711
China,938223516,131375325,110137157,6689626,216677,231136,240819,461635,359075,525806,613984,702066,561641,589924,562960,555366,377443,449510,411620,589258,510993,445815,384637,325614,418093,479046
Clipperton Island,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,113675875,78314737,76872920,1085199,223766,178715,118341,248254,184467,185201,262621,227052,231807,193577,186570,222002,135459,195806,136900,282988,412491,343634,260227,315449,257900,257886
Comoros,167305,105959,111804,82,32,39,22,37,77,13,70,31,100,88,102,102,1089,1108,364,109,254,209,255,248,149,152
Costa Rica,5117667,3684715,3545540,57877,14831,12688,8058,9167,15552,9734,11068,20917,21792,12801,10158,10067,7496,10404,3168,13380,21615,11862,10952,7921,7502,8195
Croatia,5707840,2228570,2110189,59573,3064,2088,1514,5927,2626,2053,2966,3522,2664,3366,2616,4756,2871,4442,2475,5121,5315,7901,5785,5844,5096,7460
Cuba,11073122,3617394,3585000,164351,16883,14150,5941,20006,12126,11633,7407,15907,15171,8131,15120,9839,5611,5248,6090,72894,75012,13876,6661,11830,8848,4487
Curaçao,43777,1940,1094,176,1,1,1,1,1,1,1,1,2,0,1,7,3,1,1,2,0,0,1,2,3,3
Cyprus,571956,53669,50406,3222,61,19,15,57,20,37,653,51,36,38,85,20,6,14,14,361,259,20,22,17,338,40
Czech Republic,7883559,2879777,2943029,77300,3382,6616,3840,13200,25245,8491,21023,16599,13318,15204,21578,13796,7435,13509,7850,22330,25938,38518,71963,98483,55417,34119
Côte d'Ivoire,32165794,6357505,5162169,881678,94921,111569,64599,34582,38279,69245,61084,87928,84306,69137,96297,74344,106061,187644,86549,107505,163631,163106,108273,114599,77134,79987
Democratic Republic of the Congo,232912781,164388383,159424995,1591179,434259,481141,245923,375117,450441,430001,425810,374827,589052,747463,399874,573649,863637,1255968,878803,1315928,1380535,1291774,1158819,1229683,1168174,1149266
Denmark,4314472,561143,543971,95181,4076,1138,1490,2321,8900,5106,4279,5942,6498,4360,3102,4360,1930,5102,2437,4391,4060,2929,8516,2935,4461,3106
Djibouti,2186336,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,75428,70127,69096,80,23,12,27,79,52,25,40,93,74,92,44,144,22,12,2,7,23275,778,58,65,30,32
Dominican Republic,4809195,2236242,2040970,54804,10504,9644,9991,18251,24023,12294,14971,20372,13004,13205,12139,17001,11205,12501,13925,23419,25283,12605,13598,19754,12949,11626
Ecuador,25611545,17913830,17337122,218568,44048,29224,13442,36043,39239,34786,58697,51050,56343,33264,43158,72594,46056,29504,29220,42558,69539,37847,34911,48086,29748,51630
Egypt,98376439,14628,21392,4206,96,25,38,42,28,19,42,52,35,48,57,220,6,9,4,7,8,9,5,1,4,1
El Salvador,2042273,801729,758047,14647,8601,4137,5322,4088,5344,4007,2682,3022,3904,2608,3009,2313,1718,1877,2052,5233,4165,2425,1986,2007,1337,1476
Equatorial Guinea,2695935,2633384,2572528,5167,3543,2958,1925,406,1589,1215,2985,4686,5584,6417,7515,4848,7171,18855,7345,9425,11791,7685,9375,4755,8719,7651
Eritrea,12045733,2,1,10676,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,4548974,2465465,2503972,165131,16743,21809,5610,18016,14733,21504,16110,18224,18699,21418,27136,17632,16881,23271,25130,35752,38258,39436,45248,36093,33484,38595
Ethiopia,112951807,5425720,5926136,403582,8206,7777,10482,9095,9447,7899,18897,14045,18015,12801,10449,27749,17317,17522,5624,9429,22277,11357,17931,10763,10410,10355
Falkland Islands,1239764,1066,5026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,143971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,1808231,1395342,1291536,5410,1079,696,1558,2058,1649,1859,2127,2355,1772,2325,543,1130,2532,3253,1702,7845,2687,1230,1320,1851,6636,884
Finland,33693918,18308144,19670293,1357022,149079,140349,88244,144132,226725,179241,150142,197949,173232,165944,157723,158421,144301,180767,167547,230799,322524,259746,279589,244270,257024,245440
France,54951498,15270417,14862863,695648,32048,31569,23979,71059,43584,52109,47068,84070,64544,140179,62469,65152,28221,41367,34553,55263,62873,63994,76301,73699,107793,54114
French Guiana,8330097,8153381,8120125,10103,3022,2488,1883,4787,2828,2529,3318,5209,2857,3199,2706,9758,2953,4157,2841,6062,4096,3709,3281,4267,2195,3820
French Southern Territories,4362,60,157,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,26454970,24158394,23913959,50031,14514,13337,16463,9498,17188,17540,15595,16049,17844,10270,17070,16490,42164,47099,24888,31303,37803,26178,27961,21362,17835,28421
Gambia,1067051,37,83,15327,0,1,0,2,1,1,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Georgia,6984457,2956338,2734583,93537,646,519,286,1907,523,510,957,728,428,769,522,445,229,101,41,499,192,287,160,215,411,275
Germany,35783856,11707136,11645770,342762,14843,14782,6241,43940,39088,41988,92222,60675,28293,74857,33833,25536,14843,20343,12603,26031,31956,51051,106354,185000,200148,84995
Ghana,23832413,4253663,3610769,312124,34044,66582,19515,14890,33591,21846,32264,27719,31562,14012,28096,27597,54268,78958,36709,71839,61736,88521,50492,82000,59668,71470
Gibraltar,721,100,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,13257505,2960494,2679951,71537,10933,4473,2205,5906,3586,6320,40862,18973,5858,6732,5283,10747,3709,2951,3030,4570,6290,5219,5862,4124,40163,7699
Greenland,12409769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,35953,27654,25738,85,33,66,70,630,47,31,68,63,93,157,40,40,25,82,6,59,28,110,21,18,16,20
Guadeloupe,165029,90175,91790,1509,308,48,73,183,208,60,151,127,115,119,72,271,156,181,69,68,59,96,67,49,64,39
Guatemala,10915098,6951962,6219667,291032,50532,53475,92505,54262,97026,50528,122873,75091,84994,58141,39546,81927,53972,60005,52243,174328,76706,67957,86802,95885,47793,44126
Guernsey,8845,1155,1379,79,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
Guinea,24481607,2155938,2409503,272657,10425,17868,5276,6920,5462,6968,16530,8674,10008,6663,9366,10202,43279,41958,46852,66686,71082,49098,55445,56411,44812,38928
Guinea-Bissau,3388205,314210,203571,43269,703,2901,497,1265,1623,855,2003,1441,3505,2750,2085,1615,7819,5727,5202,6643,6693,6034,6105,7546,5940,4275
Guyana,20974416,18900466,18825319,30502,9966,4785,7367,4033,5797,5890,5221,9415,8207,10012,8317,13029,7070,12049,13013,26360,19361,11704,22159,15690,9502,10523
Haiti,2710684,657383,561844,13832,2012,1757,915,1958,1738,996,1696,1857,2120,1759,2222,3783,2803,3427,2690,16554,5086,3812,4034,3383,2135,1561
Honduras,11228980,6696598,6478959,137965,40267,29957,31461,25159,38399,38988,40446,40402,49840,44335,50851,31240,42044,55137,47230,177419,107673,73050,77392,90844,67035,55355
Hong Kong,112913,52270,50638,676,7,12,6,17,8,19,26,23,44,12,14,13,3,22,18,26,58,76,16,36,23,42
Hungary,9305264,1797831,1722048,207301,7397,7575,5655,11852,10232,7839,9163,8627,9921,11115,8103,11640,8496,14237,10221,13232,13325,12986,13634,11404,12995,13924
Iceland,10222426,0,175958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,315279651,30465293,23802597,1881689,58273,48500,43330,66983,56566,60216,66139,77279,71301,46887,76084,83478,70317,121980,104529,156387,169313,114924,106397,121378,119403,108637
Indonesia,189024469,155063352,150794757,4882138,734820,845679,540480,1274925,1170930,1414754,1371557,1381812,1927451,1271074,1530074,2234684,1113899,1840272,1697199,2351383,1249678,1172038,1127530,927805,810566,851369
Iran,162173903,1545483,973603,49762,293,483,279,224,141,110,107,327,168,157,215,363,49,51,0,2,86,65,135,18,17,77
Iraq,44535865,6658,18089,9457,13,6,15,3,3,4,7,14,9,9,2,6,1,1,0,0,0,0,0,0,0,0
Ireland,7036645,638979,1000868,284263,8919,5042,2175,6470,7765,5109,10852,6591,7065,3626,3018,5663,4538,5504,4289,8813,5720,7902,9549,5763,8060,6130
Isle of Man,57967,10279,10476,1000,14,12,2,8,9,25,27,0,45,48,12,31,14,40,10,16,16,11,19,7,13,17
Israel,2215883,18035,14588,5318,108,89,21,34,106,94,30,49,62,59,924,33,23,73,33,42,55,25,32,22,12,40
Italy,30075443,8382318,8159559,189387,9070,10194,3187,15934,9993,7956,10777,14101,13863,15251,10866,20266,13989,18336,12921,22678,30223,36529,57731,26903,26068,26751
Jamaica,1099980,729817,698102,5833,1202,1578,973,3795,7489,2700,1229,1965,3435,2309,2330,2555,1275,2721,2828,1934,2120,2143,2200,2086,1427,1085
Japan,37240327,25597514,25204587,221004,23440,25729,19468,36691,35925,38465,45098,40377,40450,35390,35594,45145,22909,27743,30744,54138,46887,49854,50791,47517,47910,53111
Jersey,12513,1237,1262,110,4,1,0,1,0,0,0,2,1,7,3,7,0,0,0,0,1,0,0,0,2,0
Jordan,8911879,1531,960,872,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Kazakhstan,273053036,3155281,3073794,71224,2791,1792,1049,1975,1998,1587,2379,2527,5201,2532,3651,3119,1997,445,162,1007,565,880,1040,1264,572,1849
Kenya,58598336,1891472,1959165,117013,16210,17631,10606,12941,9344,16719,21373,14237,12812,18998,13313,14032,8842,10043,11427,12505,14865,10538,9651,11891,2857,3303
Kiribati,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,1091976,334618,274502,9293,1107,213,257,567,306,502,790,1119,765,461,793,1598,712,733,459,887,601,580,680,942,505,753
Kuwait,1738894,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,19864899,430352,270475,67691,553,253,73,147,60,75,82,80,159,230,99,60,22,10,0,11,47,10,14,11,15,23
Laos,23000148,18125587,17017161,101748,34212,52405,83838,61647,66954,118226,129345,78025,141008,163450,125786,140136,192946,227168,268035,364581,325175,274571,339119,337062,299049,303371
Latvia,6470996,3321041,3372228,290489,24637,28893,21198,30391,40362,38475,35856,29098,34669,48165,44490,34062,27342,31597,30295,43990,46000,45866,56250,49295,47542,55928
Lebanon,1023804,44020,34553,6369,259,55,65,79,239,112,217,331,290,90,107,129,106,119,129,179,188,176,277,344,493,396
